node,lan,text
Q204213,en,Romanian Revolution
Q74623,en,Great Turkish War
Q163236,en,Treaty of Rastatt
Q211395,en,Treaty of Passarowitz
Q127050,en,Manhattan Project
Q11768,en,Ancient Egypt
Q258679,en,Austro-Turkish War (1663–1664)
Q654006,en,Second Northern War
Q170113,en,Battle of Saint Gotthard (1664)
Q673556,en,War of the Reunions
Q154635,en,Battle of Blenheim
Q200855,en,Battle of Vienna
Q694911,en,Battle of Párkány
Q51122,en,Italian unification
Q273348,en,Italian Wars
Q1477177,en,1934 FIFA World Cup
Q131591,en,1938 FIFA World Cup
Q46934,en,1982 FIFA World Cup
Q37285,en,2006 FIFA World Cup
Q9632,en,1956 Winter Olympics
Q8415,en,1960 Summer Olympics
Q9672,en,2006 Winter Olympics
Q3625456,en,Siege of Buda (1684)
Q699902,en,Siege of Belgrade (1688)
Q517486,en,Battle of Zenta
Q26799687,en,Austro-Turkish War (1716–1718)
Q638587,en,Russo-Turkish War (1735–1739)
Q4872699,en,Battle of Vác (1684)
Q192303,en,Treaty of Karlowitz
Q7509869,en,Siege of Belgrade (1690)
Q8022145,en,Swimming at the 2016 Summer Olympics
Q746307,en,Short track speed skating at the 2006 Winter Olympics
Q220561,en,2009 World Aquatics Championships
Q8577,en,2012 Summer Olympics
Q216864,en,2008 Summer Paralympics
Q182798,en,2012 Summer Paralympics
Q850778,en,Siege of Buda (1849)
Q180897,en,Treaty of Tordesillas
Q220231,en,2013 FIFA Confederations Cup
Q171552,en,1994 San Marino Grand Prix
Q172010,en,2009 Hungarian Grand Prix
Q8613,en,2016 Summer Olympics
Q83085,en,Soviet–Afghan War
Q40949,en,American Revolutionary War
Q186356,en,New Deal
Q8450,en,1980 Summer Olympics
Q8456,en,1984 Summer Olympics
Q168708,en,Dallas (1978 TV series)
Q8098,en,1904 Summer Olympics
Q8143,en,1932 Summer Olympics
Q8531,en,1996 Summer Olympics
Q9596,en,1932 Winter Olympics
Q9652,en,1980 Winter Olympics
Q9668,en,2002 Winter Olympics
Q687230,en,Baden culture
Q16999180,en,2019 European Parliament election
Q52843,en,Treaty of Lisbon
Q11146,en,Maastricht Treaty
Q694767,en,Treaty of Schönbrunn
Q8403,en,1948 Summer Olympics
Q740425,en,75th Academy Awards
Q76161845,en,45th César Awards
Q154102,en,Peace of Pressburg (1805)
Q68969,en,Croatian War of Independence
Q927198,en,Londinium
Q10818,en,7 July 2005 London bombings
Q134202,en,1966 FIFA World Cup
Q180563,en,UEFA Euro 1996
Q8111,en,1908 Summer Olympics
Q194082,en,Apollo 1
Q8411,en,1956 Summer Olympics
Q155103,en,Siege of Budapest
Q46805,en,Romanesque art
Q734736,en,1972 Cannes Film Festival
Q304223,en,1983 Cannes Film Festival
Q2487,en,Thirty Years' War
Q481526,en,Kamianets-Podilskyi massacre
Q6534,en,French Revolution
Q42976,en,October Revolution
Q1150620,en,Slovak invasion of Poland
Q150939,en,Operation Weserübung
Q151860,en,Siege of Leningrad
Q202578,en,First Jewish–Roman War
Q8669,en,Arab–Israeli conflict
Q18937,en,Mesopotamian campaign
Q190712,en,First Battle of the Marne
Q3321519,en,Siege of Eger (1552)
Q1582631,en,Siege of Eger (1596)
Q662874,en,First Congress of Vienna
Q1049956,en,Hungarian campaign of 1527–1528
Q3997897,en,Treaty of Constantinople (1533)
Q850771,en,Siege of Pest
Q154577,en,Peace of Augsburg
Q700194,en,Battle on the Marchfeld
Q134949,en,Winter War
Q698706,en,Battle of Kosovo (1448)
Q8429,en,1968 Summer Olympics
Q769377,en,Operation Storm
Q202165,en,Hallstatt culture
Q2614328,en,2014 UEFA Champions League Final
Q18084793,en,2016 UEFA Champions League Final
Q189571,en,UEFA Euro 2016
Q16839196,en,2016 FIFA Club World Cup
Q61686413,en,2019–20 Serie A
Q102920,en,UEFA Euro 2004
Q241864,en,UEFA Euro 2008
Q22669,en,UEFA Euro 2012
Q176883,en,2010 FIFA World Cup
Q589997,en,2017 FIFA Confederations Cup
Q373501,en,UEFA Euro 2020
Q81068910,en,COVID-19 pandemic
Q1080711,en,Ottoman–Hungarian wars
Q154573,en,Eastern Front (World War I)
Q153650,en,Austro-Prussian War
Q16394,en,Franche-Comté
Q8558,en,2004 Summer Olympics
Q604897,en,Battle of Dien Bien Phu
Q191721,en,Bay of Pigs Invasion
Q280468,en,Battle of Ap Bac
Q193484,en,Assassination of John F. Kennedy
Q164815,en,Woodstock
Q1050999,en,Turkish invasion of Cyprus
Q646322,en,Franco-Dutch War
Q661566,en,Dutch Golden Age
Q8138,en,1928 Summer Olympics
Q166121,en,1974 FIFA World Cup
Q159181,en,Football at the 1972 Summer Olympics
Q582424,en,Football at the 1976 Summer Olympics
Q748635,en,Football at the 1992 Summer Olympics
Q66064,en,2008 Canadian Grand Prix
Q184928,en,1905 Russian Revolution
Q46362,en,Congress of Vienna
Q8488,en,1992 Summer Olympics
Q24849353,en,2017 MotoGP World Championship
Q28455744,en,2018 MotoGP World Championship
Q30676509,en,2019 MotoGP World Championship
Q734023,en,Battle of the Mincio River (1814)
Q469040,en,Match of the Century (1953 England v Hungary football match)
Q540978,en,Second Italian War of Independence
Q622774,en,French Revolution of 1848
Q920894,en,First Italian War of Independence
Q769356,en,Battle of Kápolna
Q154981,en,Second Schleswig War
Q192050,en,Assassination of Archduke Franz Ferdinand
Q154942,en,Battle of Königgrätz
Q174205,en,Russo-Turkish War (1877–1878)
Q180813,en,68th Golden Globe Awards
Q183355,en,83rd Academy Awards
Q753167,en,74th Academy Awards
Q919233,en,2004 Cannes Film Festival
Q200716,en,Battle of Chaeronea (338 BC)
Q228911,en,Anglo-Zulu War
Q31944,en,Mahdist War
Q13341477,en,Chavín culture
Q61750,en,Tiwanaku
Q545449,en,Iraq War
Q8733,en,Qing dynasty
Q83222,en,Mesozoic
Q2763,en,The Holocaust
Q8438,en,1972 Summer Olympics
Q229007,en,Munich massacre
Q134114,en,Battle of Austerlitz
Q611017,en,Lusatian culture
Q177283,en,Altmark incident
Q723957,en,Battle of Humenné
Q786171,en,Ottoman–Habsburg wars
Q690495,en,Battle of Keresztes
Q690470,en,Battle of Mohács (1687)
Q8567,en,2008 Summer Olympics
Q9674,en,2010 Winter Olympics
Q8088,en,1900 Summer Olympics
Q8105,en,1906 Intercalated Games
Q8544,en,2000 Summer Olympics
Q8128,en,1920 Summer Olympics
Q8470,en,1988 Summer Olympics
Q170422,en,2010 Summer Youth Olympics
Q192554,en,2012 Winter Youth Olympics
Q9678,en,2014 Winter Olympics
Q8444,en,1976 Summer Olympics
Q9664,en,1998 Winter Olympics
Q43653,en,Apollo 11
Q3815,en,Fringe (TV series)
Q170306,en,German Revolution of 1918–1919
Q150974,en,Tehran Conference
Q16470,en,Normandy landings
Q131075,en,1954 FIFA World Cup
Q132529,en,1990 FIFA World Cup
Q182386,en,UEFA Euro 1972
Q151867,en,UEFA Euro 1988
Q182196,en,UEFA Euro 1980
Q367805,en,2007 FIFA Women's World Cup
Q108183,en,2011 FIFA Women's World Cup
Q155346,en,2005 FIFA Confederations Cup
Q158222,en,1938 World Men's Handball Championship
Q167452,en,1961 World Men's Handball Championship
Q194132,en,Operation Torch
Q218208,en,2012 Africa Cup of Nations
Q46959,en,Tunisian Revolution
Q29198,en,Egyptian revolution of 2011
Q81545,en,First Libyan Civil War
Q4233962,en,Coronation of Bokassa I
Q729596,en,1974 African Cup of Nations
Q321032,en,Council of Florence
Q163891,en,St. Bartholomew's Day massacre
Q690291,en,Battle of Breadfield
Q220092,en,Zoo TV Tour
Q1194052,en,Bretton Woods Conference
Q126604,en,First Vienna Award
Q906822,en,Gerzeh culture
Q1036947,en,Battle of the Delta
Q939570,en,Battle of Maritsa
Q32832,en,Battle of Varna
Q244980,en,Siege of Belgrade (1456)
Q201038,en,Roman Kingdom
Q745110,en,Battle of Chaldiran
Q431177,en,Mongol conquest of the Khwarazmian Empire
Q606621,en,Siege of Szigetvár
Q63468,en,Battle of Pavia
Q535542,en,Siege of Belgrade (1521)
Q207576,en,Siege of Vienna (1529)
Q673641,en,Siege of Güns
Q58732,en,Great Siege of Malta
Q909880,en,Treaty of Adrianople (1568)
Q165425,en,Battle of Lepanto
Q858145,en,Space Shuttle Challenger disaster
Q829104,en,Russo-Turkish War (1686–1700)
Q846708,en,Pruth River Campaign
Q79911,en,Russian Civil War
Q208855,en,Jallianwala Bagh massacre
Q18817,en,War of the First Coalition
Q1074467,en,War of Chioggia
Q223942,en,La Fenice
Q872007,en,Battle of Kerlés
Q684915,en,Crossing of the Rhine
Q232388,en,Dual Alliance (1879)
Q594230,en,Ferenc Puskás Stadium
Q1035922,en,Bombing of Kassa
Q269479,en,Battle of Köbölkút
Q190758,en,War in Darfur
Q171328,en,Charter of the United Nations
Q46083,en,Franco-Prussian War
Q584617,en,Treaty of London (1913)
Q789406,en,Balkans theatre
Q153858,en,Battle of Tannenberg
Q660655,en,First Battle of the Masurian Lakes
Q684872,en,Second Battle of the Masurian Lakes
Q698828,en,Siege of Przemyśl
Q670489,en,Gorlice–Tarnów offensive
Q688339,en,Great Retreat (Russian)
Q525934,en,Lake Naroch offensive
Q221967,en,Brusilov offensive
Q690308,en,Kerensky offensive
Q152989,en,Western Front (World War I)
Q671594,en,Battle of Liège
Q152008,en,Operation Michael
Q1088364,en,Battle of the Lys (1918)
Q253224,en,Armistice of 11 November 1918
Q662961,en,Battle of Vittorio Veneto
Q706563,en,Siege of Tsingtao
Q250652,en,Battle of Sarikamish
Q2665637,en,Fall of Baghdad (1917)
Q704886,en,South West Africa campaign
Q40144,en,Battle of Coronel
Q156554,en,Battle of Jutland
Q164983,en,Gallipoli campaign
Q1933729,en,Polish–Czechoslovak War
Q131239,en,UEFA Euro 2000
Q165725,en,Balkan Wars
Q252298,en,Hungarian–Romanian War
Q79791,en,Reconquista
Q837692,en,Surveyor 1
Q862799,en,Surveyor 2
Q862566,en,Surveyor 4
Q188433,en,Apollo 12
Q837685,en,Surveyor 3
Q54384,en,Space Shuttle Discovery
Q33297,en,Wow! signal
Q256608,en,Outer Space Treaty
Q334029,en,Battle of Bunker Hill
Q2658524,en,1940 Vrancea earthquake
Q193740,en,Live Aid
Q18180,en,Korean Air Lines Flight 007
Q748379,en,1960 U-2 incident
Q750567,en,German spring offensive
Q194113,en,Treaty of San Stefano
Q151423,en,Congress of Berlin
Q846876,en,Stockholm Bloodbath
Q192473,en,Battle of Adrianople
Q18381,en,Ariane 3
Q1070895,en,World Chess Championship 1886
Q917629,en,World Chess Championship 2013
Q8035503,en,World Chess Championship 2014
Q18342495,en,World Chess Championship 2016
Q27956034,en,World Chess Championship 2018
Q18432165,en,43rd Chess Olympiad
Q1666504,en,World Chess Championship 1948
Q650624,en,World Chess Championship 1985
Q1345226,en,Classical World Chess Championship 2000
Q667625,en,Classical World Chess Championship 2004
Q773632,en,World Chess Championship 2006
Q542213,en,World Chess Championship 2007
Q634297,en,World Chess Championship 2008
Q733589,en,World Chess Championship 2010
Q909142,en,World Chess Championship 2012
Q1807294,en,World Chess Championship 1891
Q261635,en,Figure skating at the 2006 Winter Olympics
Q570204,en,Battle of the Kalka River
Q1201263,en,Warlord Era
Q868678,en,Concert for George
Q553157,en,Romania in World War I
Q697722,en,Battle of Pressburg
Q1322868,en,Battle of Turda
Q188925,en,Battles of Khalkhin Gol
Q213394,en,Sri Lankan Civil War
Q130754,en,2004 Indian Ocean earthquake and tsunami
Q2981856,en,Battle of Cocos
Q296754,en,Battle of Singapore
Q391087,en,Battle of Cynoscephalae
Q504739,en,Battle of Pydna
Q1047674,en,Novi Sad raid
Q83055,en,Operation Barbarossa
Q47735,en,2002 FIFA World Cup
Q185063,en,Warring States period
Q15989108,en,Western African Ebola virus epidemic
Q152486,en,Battle of Poltava
Q17374096,en,Malaysia Airlines Flight 17
Q486,en,Chernobyl disaster
Q8860000,en,Voskhod programme
Q311721,en,Hindenburg Line
Q1747429,en,Hungarian–Czechoslovak War
Q1471839,en,Battle of Păuliș
Q182865,en,War in Afghanistan (2001–2021)
Q8740,en,Vietnam War
Q242352,en,Yugoslav Wars
Q488,en,Atomic bombings of Hiroshima and Nagasaki
Q37643,en,Gulf War
Q155723,en,NATO bombing of Yugoslavia
Q181293,en,Battle of Rozgony
Q14246267,en,Santiago de Compostela derailment
Q133132,en,Paris Commune
Q462964,en,November Uprising
Q16720554,en,Canonization of Pope John XXIII and Pope John Paul II
Q162665,en,Nika riots
Q33761,en,Arab Spring
Q673175,en,French Wars of Religion
Q179250,en,French invasion of Russia
Q101730,en,1998 FIFA World Cup
Q46938,en,1986 FIFA World Cup
Q156211,en,Treaty of Paris (1763)
Q270517,en,Dieppe Raid
Q16422,en,Hurricane Katrina
Q9658,en,1988 Winter Olympics
Q831688,en,2007 FIFA U-20 World Cup
Q28062036,en,2017 Turkish constitutional referendum
Q927025,en,1974 Cannes Film Festival
Q178871,en,Apollo 14
Q335275,en,35th Chess Olympiad
Q769961,en,41st Chess Olympiad
Q287108,en,28th Chess Olympiad
Q287075,en,29th Chess Olympiad
Q637844,en,38th Chess Olympiad
Q1536380,en,34th Chess Olympiad
Q386612,en,39th Chess Olympiad
Q622751,en,War communism
Q530063,en,1981 European Aquatics Championships
Q623392,en,1990 European Athletics Championships
Q1098103,en,Battle of Isaszeg (1849)
Q612454,en,2006 European Aquatics Championships
Q806348,en,Linear Pottery culture
Q223933,en,Belgian Revolution
Q164432,en,Eighty Years' War
Q13582,en,Berlin Conference
Q622649,en,Single European Act
Q21812812,en,2016 United Kingdom European Union membership referendum
Q32929,en,War of the Austrian Succession
Q162546,en,Vienna offensive
Q1451505,en,2028 Summer Olympics
Q938980,en,Battle of Ménfő
Q659745,en,Italian front (World War I)
Q9583,en,1924 Winter Olympics
Q9615,en,1948 Winter Olympics
Q9623,en,1952 Winter Olympics
Q9634,en,1960 Winter Olympics
Q9636,en,1964 Winter Olympics
Q9642,en,1968 Winter Olympics
Q9657,en,1984 Winter Olympics
Q9660,en,1992 Winter Olympics
Q9663,en,1994 Winter Olympics
Q370745,en,2016 Winter Youth Olympics
Q11694,en,American Airlines Flight 11
Q541369,en,Anglo-Soviet invasion of Iran
Q160011,en,Battle of the Falkland Islands
Q713529,en,Battle of the River Plate
Q705874,en,Battle of Mohi
Q690361,en,Long Turkish War
Q151018,en,Battle of the Bulge
Q78994,en,Napoleonic Wars
Q207342,en,Trinity (nuclear test)
Q6540361,en,Surrender of Japan
Q2237589,en,Battle of Limanowa
Q13950,en,Picardy
Q213649,en,Viking Age
Q152142,en,Bombing of Dresden in World War II
Q316868,en,Bombing of Hamburg in World War II
Q178687,en,First Sino-Japanese War
Q219230,en,Marco Polo Bridge Incident
Q697579,en,Battle of Lake Khasan
Q25980,en,Gleiwitz incident
Q151340,en,Battle of France
Q155620,en,Second Battle of Kharkov
Q154860,en,Siege of Sevastopol (1941–1942)
Q151052,en,Operation Bagration
Q170360,en,Armistice of 22 June 1940
Q221111,en,Operation Dragoon
Q189930,en,Operation Market Garden
Q704248,en,Battle of Thermopylae (1941)
Q94916,en,Second Italo-Ethiopian War
Q682399,en,Operation Battleaxe
Q140025,en,Japanese invasion of French Indochina
Q207165,en,Battle of the Coral Sea
Q181013,en,Little Boy
Q188163,en,Fat Man
Q1332160,en,Indonesian National Revolution
Q378835,en,Unit 731
Q161227,en,Yalta Conference
Q188718,en,The Bridge on the River Kwai
Q722205,en,Battle of Mirăslău
Q151349,en,Berlin Blockade
Q1536279,en,Flight and expulsion of Germans (1944–1950)
Q664211,en,1954 Cannes Film Festival
Q134178,en,Minoan civilization
Q179591,en,Battle of Cannae
Q200056,en,Battle of Zama
Q249232,en,War of the Third Coalition
Q1034037,en,Battle of the Strait of Otranto (1917)
Q217981,en,Allied invasion of Sicily
Q210199,en,Viking 1
Q154255,en,Munich Agreement
Q648581,en,Soyuz 11
Q23016184,en,AlphaGo versus Lee Sedol
Q20857240,en,European migrant crisis
Q130847,en,Battle of Verdun
Q995653,en,2024 Summer Olympics
Q4692,en,Renaissance
Q1785022,en,Bohemian Revolt
Q167259,en,Battle of Lützen (1632)
Q203233,en,Battle of Plassey
Q126065,en,Iranian Revolution
Q123559,en,Al-Andalus
Q132444,en,1999 World Championships in Athletics
Q599264,en,2003 UEFA Cup Final
Q468823,en,March on Rome
Q580867,en,Space Shuttle Columbia disaster
Q98073118,en,2020 Beirut explosion
Q720348,en,Battle of Ras al-Ayn (2012–13)
Q173004,en,2012 Spanish Grand Prix
Q1317922,en,Siege of Temesvár (1849)
Q38789,en,Battle of Stalingrad
Q131297,en,Rwandan genocide
Q318250,en,Ogaden War
Q202465,en,Uganda–Tanzania War
Q780921,en,Battle of Paris (1814)
Q193993,en,Battle of Pea Ridge
Q729588,en,1972 African Cup of Nations
Q4630289,en,2015 African Games
Q780367,en,Siege of Plevna
Q853976,en,First Battle of Ypres
Q153992,en,Reichstag fire
Q208529,en,Battle of Dunkirk
Q841211,en,Battle of Nedao
Q780631,en,Fencing at the 1928 Summer Olympics
Q20977821,en,2015 Burkinabé coup d'état
Q705936,en,Battle of Quatre Bras
Q855429,en,Battle of Ligny
Q920107,en,Battle of Wavre
Q8729,en,Russian Revolution
Q151005,en,Battle of Leipzig
Q4661508,en,Chelyabinsk meteor
Q185043,en,Three Kingdoms
Q9646,en,1972 Winter Olympics
Q169399,en,ENIAC
Q164697,en,Battle of Riade
Q152195,en,Anti-Comintern Pact
Q186284,en,Polish–Soviet War
Q8132,en,1924 Summer Olympics
Q24045538,en,2016 Hungarian migrant quota referendum
Q4871614,en,Battle of Lugos
Q17005,en,Languedoc-Roussillon
Q12428,en,Battle of Dorylaeum (1097)
Q827472,en,Battle of Ascalon
Q233568,en,Battle of Hattin
Q2257733,en,2017 World Aquatics Championships
Q161810,en,UEFA Euro 1992
Q8683,en,Cold War
Q208243,en,Eurovision Song Contest 1993
Q46943,en,1978 FIFA World Cup
Q182205,en,1964 European Nations' Cup
Q9680,en,2018 Winter Olympics
Q381375,en,First Nagorno-Karabakh War
Q200032,en,Battle of Manzikert
Q123070,en,Russo-Turkish War (1768–1774)
Q47359,en,Kyoto Protocol
Q527130,en,Ethnic clashes of Târgu Mureș
Q833441,en,Transylvanian peasant revolt
Q163573,en,Algeciras Conference
Q604587,en,Siege of Buda (1541)
Q215646,en,Edo
Q9651,en,1976 Winter Olympics
Q179288,en,Battle of Kosovo
Q181533,en,Bosnian War
Q155796,en,Treaty of Rapallo (1922)
Q10859,en,Spanish Civil War
Q151290,en,Battle of Moscow
Q130861,en,Battle of Kursk
Q153376,en,Second Battle of El Alamein
Q157627,en,Battle of the Atlantic
Q204636,en,Battle of Plataea
Q897933,en,Battle of Raab
Q211855,en,Finnish Civil War
Q10152,en,Eurovision Song Contest 2006
Q581978,en,Football at the 1952 Summer Olympics
Q48249,en,Falklands War
Q2672432,en,Mongol invasion of Java
Q16961,en,Upper Normandy
Q52418,en,Attack on Pearl Harbor
Q173034,en,Battle of Midway
Q4871715,en,Battle of Merville Gun Battery
Q860981,en,Battle of Khotyn (1621)
Q471700,en,2006 Slovak Air Force Antonov An-24 crash
Q191055,en,1755 Lisbon earthquake
Q25408640,en,Eurovision Song Contest 2018
Q152499,en,Peninsular War
Q159672,en,FIS Alpine World Ski Championships 2011
Q701225,en,FIS Alpine World Ski Championships 2013
Q19841588,en,2015–16 Four Hills Tournament
Q290673,en,1994 European Men's Handball Championship
Q258743,en,1998 European Men's Handball Championship
Q386821,en,2004 European Men's Handball Championship
Q533740,en,2013 World Men's Handball Championship
Q241329,en,2006 FIBA World Championship
Q211438,en,2010 FIBA World Championship
Q2149737,en,Turkish Abductions
Q275874,en,Junior Eurovision Song Contest 2013
Q17502671,en,Junior Eurovision Song Contest 2015
Q15092352,en,Junior Eurovision Song Contest 2014
Q209429,en,Eurovision Song Contest 1971
Q207327,en,Sicilian Vespers
Q1049630,en,Super Bowl XXXVIII
Q188596,en,Tsar Bomba
Q172831,en,1960 European Nations' Cup
Q182201,en,UEFA Euro 1968
Q3879658,en,Swimming at the 1992 Summer Olympics – Women's 400 metre individual medley
Q3879642,en,Swimming at the 1992 Summer Olympics – Women's 100 metre backstroke
Q3879650,en,Swimming at the 1992 Summer Olympics – Women's 200 metre backstroke
Q1053559,en,2020 Winter Youth Olympics
Q571556,en,Treaty of Füssen
Q749811,en,Mutiny on the Bounty
Q214866,en,Great Hanshin earthquake
Q208156,en,Mongol invasions of Japan
Q385676,en,Ōnin War
Q309184,en,Boshin War
Q207541,en,Eurovision Song Contest 1974
Q209751,en,Eurovision Song Contest 1976
Q723045,en,Chang'e 4
Q628152,en,The Game Tour
Q1051803,en,Magic Tour (Queen)
Q334192,en,2007 AFC Asian Cup
Q699602,en,Cretan War (1645–1669)
Q30822,en,Tennis at the 2012 Summer Olympics
Q829370,en,Tennis at the 2012 Summer Olympics – Women's singles
Q840683,en,Tennis at the 2012 Summer Olympics – Mixed doubles
Q150701,en,War of the Spanish Succession
Q87779,en,Battle of the Teutoburg Forest
Q605948,en,Messinian salinity crisis
Q223787,en,Sailing at the 2012 Summer Olympics
Q212220,en,Battle of Nicopolis
Q209387,en,Battle of Ankara
Q160077,en,Fall of Constantinople
Q1543663,en,Sultanate of Women
Q690481,en,Battle of Slankamen
Q123227,en,Treaty of Küçük Kaynarca
Q4872808,en,Battle of Zernest
Q1295733,en,Szeletian
Q668742,en,Lengyel culture
Q1317918,en,Siege of Temesvár (1552)
Q183191,en,European Convention on Human Rights
Q473845,en,Columbine High School massacre
Q18387,en,Ariane 4
Q688909,en,Armory Show
Q2723462,en,Battle of Chuvash Cape
Q526875,en,1963 Cannes Film Festival
Q654995,en,8th Chess Olympiad
Q203824,en,Italo-Turkish War
Q223604,en,Greco-Italian War
Q160813,en,1962 FIFA World Cup
Q955379,en,Elevation Tour
Q730553,en,Battle of Myriokephalon
Q739203,en,Gemini 2
Q586755,en,RDS-1
Q3638583,en,Berkeley RISC
Q223644,en,Solomon's Temple
Q192408,en,Taiping Rebellion
Q507357,en,Battle of Southern Buh
Q49101,en,Suez Crisis
Q688351,en,2013 Africa Cup of Nations
Q83157,en,2010 Africa Cup of Nations
Q255997,en,Houthi insurgency in Yemen
Q18145759,en,Houthi takeover in Yemen
Q187742,en,Guelphs and Ghibellines
Q945970,en,1974 FIFA World Cup Final
Q1068876,en,1976 European Cup Final
Q751782,en,2010 UEFA Champions League Final
Q1038506,en,2010 DFL-Supercup
Q719820,en,2012 UEFA Champions League Final
Q13643411,en,2013 DFL-Supercup
Q603975,en,2013 UEFA Super Cup
Q211452,en,2013 FIFA Club World Cup
Q572031,en,2013 UEFA Champions League Final
Q505939,en,Battle of Vukovar
Q190819,en,Bloody Sunday (1972)
Q48202,en,Battle of Custoza (1848)
Q215112,en,Second Boer War
Q1676845,en,Boer Wars
Q389642,en,1957 African Cup of Nations
Q465627,en,Sack of Rome (1527)
Q871366,en,Battle of Sluys
Q42005,en,Black Death
Q836963,en,Treaty of Cateau-Cambrésis
Q1089686,en,Champ de Mars massacre
Q4411,en,Battle of Valmy
Q855271,en,Battle of Jemappes
Q331347,en,Battle of Eylau
Q154596,en,Treaties of Tilsit
Q722699,en,Fashoda Incident
Q904928,en,Super Bowl XL
Q165058,en,Holodomor
Q657771,en,Luna 24
Q214078,en,Scientific Revolution
Q170314,en,Second Sino-Japanese War
Q749610,en,1964 Alaska earthquake
Q1987213,en,Battle of Dyrrhachium (1081)
Q1415949,en,5th Chess Olympiad
Q1415959,en,6th Chess Olympiad
Q930880,en,7th Chess Olympiad
Q629905,en,World Chess Championship 1951
Q1018969,en,Defense of Van (1915)
Q8118,en,1912 Summer Olympics
Q2095168,en,1947 European Aquatics Championships
Q647385,en,Swimming at the 1948 Summer Olympics
Q645264,en,Swimming at the 1952 Summer Olympics
Q1855820,en,1954 European Aquatics Championships
Q763033,en,Water polo at the 1976 Summer Olympics
Q719992,en,Fourth Council of the Lateran
Q1190,en,Limousin
Q74109,en,World War II in Albania
Q1753031,en,Soyuz TM-26
Q470596,en,Year of the Four Emperors
Q185047,en,Spring and Autumn period
Q371433,en,Super Bowl XLV
Q731165,en,1955 Cannes Film Festival
Q3953972,en,Third Battle of Oituz
Q152805,en,Convention on Biological Diversity
Q10157,en,Eurovision Song Contest 2009
Q10146,en,Eurovision Song Contest 2002
Q897595,en,1960 Cannes Film Festival
Q132664,en,1970 FIFA World Cup
Q1130507,en,Hundred Days Offensive
Q203987,en,Eurovision Song Contest 1997
Q129864,en,Indian Rebellion of 1857
Q76421,en,2008 Mumbai attacks
Q15694436,en,2019 World Athletics Championships
Q191836,en,CITES
Q648144,en,Super Bowl XXXII
Q508448,en,Super Bowl XXXIII
Q1190093,en,Super Bowl XLVIII
Q20204363,en,Super Bowl LIV
Q1064741,en,Super Bowl VI
Q620277,en,Super Bowl X
Q632774,en,Super Bowl XII
Q632786,en,Super Bowl XIII
Q1463422,en,Super Bowl XXVII
Q621500,en,Super Bowl XXVIII
Q1065229,en,Super Bowl XXX
Q52824,en,Jōmon period
Q159950,en,Russo-Japanese War
Q243618,en,Second Vienna Award
Q10155,en,Eurovision Song Contest 2008
Q908331,en,2010 European Figure Skating Championships
Q15620700,en,Figure skating at the 2014 Winter Olympics – Team event
